               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059634,            0.015198,            0.031122,             0.55437,             0.90921,             0.69525,             0.45404,            0.023061,           0.0043132,            0.023563,           0.0033303,           0.0033303,            0.070027
                   1,            0.046502,            0.013228,            0.021666,             0.84182,             0.78926,             0.88281,             0.52598,            0.029028,           0.0044719,            0.017285,           0.0066623,           0.0066623,            0.040026
                   2,            0.044836,            0.013102,            0.017704,             0.90289,              0.8848,             0.93227,             0.56567,            0.026149,           0.0039286,            0.010743,           0.0099891,           0.0099891,            0.010019
                   3,            0.043055,            0.013266,             0.01721,             0.92971,             0.94581,             0.96502,             0.64305,            0.023789,            0.003743,           0.0059469,           0.0099822,           0.0099822,           0.0099822
                   4,            0.041331,            0.012973,            0.015116,             0.93759,             0.93932,             0.96876,             0.68992,            0.021189,           0.0034404,           0.0059795,           0.0099822,           0.0099822,           0.0099822
                   5,            0.040717,            0.012876,            0.013959,             0.97526,             0.96567,             0.98072,             0.70052,            0.019479,           0.0035093,           0.0019715,           0.0099685,           0.0099685,           0.0099685
                   6,             0.03973,            0.012663,            0.012548,              0.9815,             0.97471,             0.98751,             0.71105,            0.019007,            0.003251,           0.0020845,           0.0099508,           0.0099508,           0.0099508
                   7,            0.039211,            0.012466,            0.011756,             0.97092,             0.96344,              0.9695,             0.69906,            0.019883,           0.0033273,           0.0021814,           0.0099291,           0.0099291,           0.0099291
                   8,            0.038682,            0.012417,            0.011191,             0.97267,              0.9624,              0.9865,             0.68585,            0.020739,           0.0034264,           0.0019299,           0.0099037,           0.0099037,           0.0099037
                   9,            0.038439,            0.012343,            0.010893,             0.97487,             0.97479,             0.97966,             0.72338,            0.018518,           0.0032163,           0.0016478,           0.0098743,           0.0098743,           0.0098743
                  10,              0.0381,            0.012205,            0.010281,             0.97441,             0.96455,             0.98365,             0.70976,            0.019845,           0.0032578,            0.002503,           0.0098412,           0.0098412,           0.0098412
                  11,            0.037995,            0.012214,           0.0099185,             0.98084,             0.97889,             0.98711,             0.74244,            0.018001,           0.0030438,           0.0011992,           0.0098042,           0.0098042,           0.0098042
